Word,Definition
가압류명령(假押留命令),"가압류명령(假押留命令) 가압류신청을 인용하여 가압류를 허가하는 판결ㆍ변론을 거치느냐 거치지 않느냐에 따라서 판결의 형식으로 행하기도 하고, 결정의 형식으로 행하기도 한다. 판결의 경우에는 선고에 의하여 효력을 발생하지만, 결정의 경우의 고지방법은 당사자에 송달하는 것이다. 가..."
가집행선고(假執行宣告),"가집행선고(假執行宣告) 재산권의 청구에 관한 판결에는 상당한 이유가 없는 한 당사자의 신청유무를 불문하고 법원이 직권으로 담보를 제공하거나 제공하지 아니하고 가집행할 수 있음을 선고하여야 한다. 다만, 어음금 또는 수표금의 청구에 관한 판결에는 담보를 제공하게 하지 아니하고..."
가처분(假處分),"가처분(假處分) 권리의 실현이 소송의 지연이나 강제집행을 면하기 위한 채무자의 재산은닉 등으로 위험에 처해 있을 경우에, 그 보전을 위하여 그 권리에 관한 분쟁의 소송적 해결 또는 강제집행이 가능하게 되기까지 잠정적ㆍ가정적으로 행하여지는 처분으로서, 가압류와 유사한 보전소송..."
"간석지(干潟地, tidal marsh, tideland, tidal flat)","간석지(干潟地, tidal marsh, tideland, tidal flat) 간석지란 바닷가의 만조시에 바닷물이 들어오는 극히 평평한 해안퇴적지형의 갯벌을 말하는 것으로, 만조수위선으로부터 간조수위선까지의 사이의 토지로 형성된다(공유수면관리법 제2조제4호)."
"간선도로(幹線道路, arterial highway, arterial road)","간선도로(幹線道路, arterial highway, arterial road) 도로망의 기본이 되는 주요 도로를 의미한다. 일반적으로는 중요 도시간을 연결한다든지, 도시 내의 중요 지구를 연결하기 위한 도로를 의미한다."
간선시설(幹線施設),간선시설(幹線施設) 간선시설이라 함은 도로ㆍ상하수도ㆍ전기시설ㆍ가스시설ㆍ통신 시설 및 지역난방시설등 주택단지(2이상의 주택단지를 동시에 개발하는 경우에는 각각의 주택단지를 말한다)안의 기간시설과 그 기간시설을 당해 주택단지밖에 있는 동종의 기간시설에 연결시키는 시설을 말한다. ...
간접세(間接稅),"간접세(間接稅) 조세 전가 여부에 따른 분류의 명칭으로, 간접세란 세금을 부담하는 자와 세금을 납부하는 자가 일치하지 않는 세금을 의미한다. 예를 들어 부가가치세나 특별소비세, 주세, 증권거래세등이 이에 포함된다."
간접수집방법(間接蒐集方法),간접수집방법(間接蒐集方法) 중개대상물의 중개의뢰 기법 중 하나로서 간접수집방법이란 중개업자와 중개대상물에 대한 권리자와의 사이에 유력한 제3자를 개재(介在)시켜 제3자의 소개(紹介)나 주선(周旋)등을 받아 중개대상물을 중개의뢰계약을 수집하는 방법이다. 이때 제3자로서 가장 유력한 자...
간주(看做),간주(看做) 법률에서 사용하는 간주란 용어는 본래 성질을 달리하는 것을 일정한 사실관계에서 분쟁을 방지하고 법률적용을 명확히 하기 위하여 법령으로써 그렇다고 擬制하여 같이 취급하려는 것이다. 따라서 ?간주한다?의 경우에는 본래 성질을 달리하는 것을 특별히 규정을 둠으로써 법...
감가수정(減價修正),감가수정(減價修正) 감가수정이라 함은 대상물건에 대한 재조달원가를 감액하여야 할 요인이 있는 경우에 물리적 감가ㆍ기능적 감가 또는 경제적 감가등을 고려하여 그에 해당하는금액을 재조달원가에서 공제하여 가격시점에 있어서의 대상물건의 가격을 적정화하는 작업을 말한다(감정평가에관...
감보(減步),"감보(減步) 환지방식의 도시개발사업(토지구획정리사업)을 시행하면 공원, 도로 등의 공공용지의 조성과 공사비 등에 쓰일 사업비를 충당하기 위하여 전체 토지 중 일부를 제외한 나머지를 종전 토지의 관계 권리자에게 배분한다(환지처분). 이와 같은 환지처분에 의하여 종전의 토지면적에 ..."
감보율(減步率),"감보율(減步率) 환지방식의 도시개발사업(토지구획정리사업)의 환지계획에서 정하는 환지의 면적은, 대부분 종전의 면적보다 작아지므로 그 감소된 면적을 감보라 하며, 감보된 면적을 종전 토지의 면적으로 나눈 값을 감보율이라 한다. 감보율 = (종전 토지의 면적 - 환지 후의 토지면적) ..."
감수(監守),"감수(監守) 파산자가 도망하거나 재산을 은닉 또는 손괴할 우려가 있는 때에는 파산자에게 내리는 명령으로, 감수를 명령받은 파산자는 법원의 허가를 얻지 아니하면 타인과 면접 또는 통신을 할 수 없다. 파산자의 감수는 파산자의 주거지를 관할하는 경찰서의 경찰관리가 집행한다"
감액청구권(減額請求權),감액청구권(減額請求權) 매매의 목적물이나 임대차의 목적에 대한 하자를 근거로 매수인이나 임차인이 매매대금이나 임료(賃料)의 감액을 청구할 수 있는 권리를 의미한다. 매매의 목적이 된 권리의 일부가 타인에게 속함으로 인하여 매도인이 그 권리를 취득하여 매수인에게 이전할 수 없는...
감정평가(鑑定評價),감정평가(鑑定評價) 토지 등의 경제적 가치를 판정하여 그 결과를 가액으로 표시하는 것을 말한다(지가공시및토지등의평가에관한법률 제2조제4호).
감정평가업(鑑定評價業),감정평가업(鑑定評價業) 감정평가업이라 함은 타인의 의뢰에 의하여 일정한 보수를 받고 토지등의 감정평가를 업으로 행하는 것을 말한다(지가공시및토지등의평가에관한법률 제2조제5호). 감정평가업자라 함은 지가공시및토지등의평가에관한법률에 의하여 등록을 한 감정평가사와 동법 제19조에 의해...
갑구(甲區),"갑구(甲區) 부동산등기부 중 소유권에 관한 사항을 기재하는 부분을 말한다. 갑구는 소유권에 관한 사항이 접수된 일자순으로 적혀있다. 또한, 소유권에 대한 압류, 가등기, 경매개시결정등기 그리고 소유권의 말소 또는 회복에 관한 재판이 진행 중임을 예고하는 예고등기, 소유자의 처분..."
강제경매(强制競賣),"강제경매(强制競賣) 집행력있는 채무명의(집행명의) 정본을 가진 채권자의 신청에 의하여 국가권력기관인 법원이 채무자의 소유재산을 압류ㆍ환가(押留ㆍ換價)한 금액으로 채무명의에 표시된 사법상의 이행청구권을 실현하는 절차로서, 민사소송법에서 정한 절차에 따라 부동산등을 매각하는 절차를..."
강제관리(强制管理),강제관리(强制管理) 채권자의 신청에 의한 법원의 부동산에 대한 강제집행 방법의 일종으로 채무자의 부동산으로부터 발생된 수익으로 채권자의 채권을 강제로 변제하는 방식을 의미한다. 법원은 강제관리개시결정에 채무자에 대하여 관리사무에 대한 간섭과 부동산수익의 처분을 금한다. 또한...
강제집행(强制執行),강제집행(强制執行) 사법상 또는 행정법상의 의무를 이행하지 않는 자에 대하여 국가가 강제적으로 그 의무의 이행을 실현하는 작용이나 절차를 말한다. 민사소송법에서는 제7편에서 강제집행에 대해 상세히 규정하고 있다. 민사소송법의 강제집행은 사법상 채무불이행자에 대하여 채권자의 ...
강제집행면탈죄(强制執行免脫罪),"강제집행면탈죄(强制執行免脫罪) 강제집행을 면할 목적으로 재산을 은닉, 손괴, 허위양도 또는 허위의 채무를 부담하여 채권자를 해한자는 3년이하의 징역 또는 1천만원이하의 벌금에 처한다(형법 제327조)."
강제집행효용침해죄,강제집행효용침해죄 강제집행으로 명도 또는 인도된 부동산에 침입하거나 기타 방법으로 강제집행의 효용을 해한 자는 5년이하의 징역 또는 700만원이하의 벌금에 처한다(형법 제140조의2).
"강행규정(强行規定, imperative) = 강행법규(强行法規)","강행규정(强行規定, imperative) = 강행법규(强行法規) 강행규정 혹은 강행법규라 함은 법령 중 선량한 풍속 기타 사회질서에 관계 있는 규정으로서, 당사자의 의사여부와 관계없이 강제적으로 적용되는 규정을 의미한다. 강행법규에 위반되는 법률행위는 공공의 질서에 반하므로 무효이다. ..."
개량재개발(改良再開發),"개량재개발(改良再開發) 주택재개발사업방식의 하나로, 개량재개발은 철거재개발과 반대방식으로 수행하는 재개발이다. 즉, 지구내의 주거환경을 점진적으로 개선해 나가는 재개발 방식이다"
개발밀도관리구역(開發密度管理區域),"정의 개발로 인하여 기반시설이 부족할 것으로 예상되지만 추가적인 기반시설의 설치가 곤란한 지역에 대해 개발밀도에 대한 제한을 강화하여 개발행위를 억제하기 위해 지정하는 구역 
 
 
 

 용어설명 개발밀도관리구역은 주거·상업 또는 공업지역에서 추가적으로 개발하는 경우 기반시설..."
개발부담금(開發負擔金),"정의 개발이익 환수(還收)를 목적으로 국가가 개발로 인한 이익에 대해 부과ㆍ징수하는 부담금. 
 

 용어설명 국가는 「개발이익환수에 관한 법률」을 통해 개발사업 대상 토지에 대한 투기를 방지하고 그 토지의 효율적인 이용을 촉진하기 위해 법규에 의한 해당사업의 개발이익에 대해..."
개발사업(開發事業),개발사업(開發事業) 개발사업이라 함은 국가 또는 지방자치단체로부터 인가ㆍ허가ㆍ면허ㆍ신고등을 받아 시행하는 택지개발사업ㆍ공업단지조성사업등 개발이익환수에관한법률 제5조의 규정에 의한 사업을 말한다(개발이익환수에관한법률 제2조제2호).
"개발이익(開發利益, development benefit)","개발이익(開發利益, development benefit) 개발이익이라 함은 개발사업의 시행 또는 토지이용계획의 변경 기타 사회ㆍ경제적 요인에 의하여 정상지가상승분을 초과하여 개발사업을 시행하는 자 또는 토지소유자에게 귀속되는 토지가액의 증가분을 말한다(개발이익환수에관한법률 제2조제1호). 보..."
개발제한구역(開發制限區域) = 그린벨트(Green Belt : GB),"정의 도시의 무질서한 확산을 방지하고 도시주변의 자연환경을 보전하여 시민의 건전한 생활환경을 확보함을 목적으로 도시 주변에 설정하는 「국토의 계획 및 이용에 관한 법률」에 의한 용도구역의 하나 
 

 용어설명 개발제한구역은 「국토의 계획 및 이용에 관한 법률」에 의한 용도..."
개발제한구역관리계획(開發制限區域管理計劃),"개발제한구역관리계획(開發制限區域管理計劃) 개발제한구역을 종합적으로 관리하기 위하여 5년 단위로 개발제한구역을 관할하는 특별시장ㆍ광역시장 또는 도지사가 수립하는 다음의 사항이 포한된 계획으로, 계획의 수립을 위해서는 건설교통부장관의 승인을 얻어야 한다(개발제한구역의지정및관리에..."
개발제한구역의지정및관리에관한특별조치법,"개발제한구역의지정및관리에관한특별조치법 개발제한구역의지정및관리에관한특별조치법이란 도시계획법 제34조의 규정에 의한 개발제한구역의 지정과 개발제한구역에서의 행위제한, 주민에 대한 지원, 토지의 매수 기타 개발제한구역의 효율적인 관리를 위하여 필요한 사항을 정함으로써 도시의 무질..."
개발제한구역훼손부담금(開發制限區域毁損負擔金),개발제한구역훼손부담금(開發制限區域毁損負擔金) 건설교통부장관이 개발제한구역의 훼손을 억제하고 개발제한구역의 관리를 위한 재원을 확보하기 위하여 개발제한구역의지정및관리에관한특별조치법 제11조제1항 각호외의 부분 단서 또는 제12조의 규정에 의한 허가(토지의 형질변경허가 또는 토지의...
개발진흥지구,"정의 주거기능·상업기능·공업기능·유통물류기능·관광기능·휴양기능 등을 집중적으로 개발·정비하기 위해 지정하는 「국토의 계획 및 이용에 관한 법률」에 의한 용도지구의 하나. 
 

 용어설명 개발진흥지구란 「국토의 계획 및 이용에 관한 법률」에 의해 도시관리계획으로 결정되는 용도지구..."
개발촉진지구(開發促進地區),"개발촉진지구(開發促進地區) 도시계획법에 의한 개발촉진지구란 도시계획지구 중 개발촉진지구란 주거기능ㆍ상업기능 또는 공업기능을 집중적으로 개발ㆍ정비할 필요가 있는 지구를 의미한다(도시계획법 제33조제9호). 
개발촉진지구는 다음과 같이 구분된다(도시계획법시행령 제30조제1호). 
1. 아파트..."
개발촉진지구(開發促進地區),"정의 개발수준이 다른 지역에 비하여 현저하게 낮은 지역의 개발을 촉진하기 위해 지정하는 지구 
 

 용어설명 「지역균형개발 및 지방중소기업 육성에 관한 법률」에 의하여 국토해양부장관은 개발수준이 다른 지역에 비하여 현저하게 낮은 지역 등의 개발을 촉진하기 위해 필요한 경우..."
개발행위 허가제한지역,"정의 도시관리계획 상 공익을 위해 필요한 경우 「국토의 계획 및 이용에 관한 법률」에서 규정하는 개발행위에 대한 허가를 일정기간 제한하는 지역 
 

 용어설명 개발행위 허가제한지역은 도시관리계획 상 공익을 위해 특히 필요하다고 인정되는 지역에 대한 개발행위의 허가를 제한하..."
개발행위허가제,"개발행위허가제 정의 난개발 방지를 위해「국토의 계획 및 이용에 관한 법률」에서 규정하는 개발행위를 하고자 하는 경우 허가를 받도록 하는 제도 
 용어설명 개발행위 허가제는 난개발을 방지하기 위한 제도로서 계획의 적정성, 기반시설의 확보여부, 주변환경과의 조화등을 고려하여 개..."
개별공시지가(個別公示地價),"개별공시지가(個別公示地價) 
 
개별토지의 단위면적(제곱미터)당 가격을 의미하는 것으로, 국세나 지방세의 과세표준으로 활용되고 있다. 
시장ㆍ군수 또는 구청장은 개발이익환수에관한법률에 의한 개발부담금의 부과 기타 다른 법령이 정하는 목적을 위한 지가산정에 사용하도록 하기 위하여 시..."
"개별성(個別性, heterogeneity) = 비대체성(非代替性), 비동질성(非同質性), 부동성(不同性)","개별성(個別性, heterogeneity) = 비대체성(非代替性), 비동질성(非同質性), 부동성(不同性) 모든 부동산은 각각 다르다는 부동산의 자연적 특성 중 하나. 개별성의 특성으로 말미암아, 부동산에는 일물일가의 법칙이 적용되기 어렵고, 부동산의 가격구성에는 개별적 요인이 작용하는 등 여러 ..."
개별요인(個別要因),"개별요인(個別要因) 개별요인이라 함은 부동산감정평가에서 사용되는 용어로서, 감정평가 대상물인 부동산의 가격에 직접 영향을 미치는 부동산 자체의 위치ㆍ면적ㆍ형상ㆍ이용상황 등의 개별적인 요인을 말한다."
개별입찰(個別入札) = 분할경매(分割競賣),개별입찰(個別入札) = 분할경매(分割競賣) 부동산경매에 있어 원칙적으로 개별적인 부동산마다 최저입찰가격을 정하여 각각 하나씩 입찰로 매각하도록 하는 원칙을 의미한다. 일괄입찰 또는 일괄경매에 대비되는 개념이다. 경매부동산을 개별입찰 여부는 법원은 자유재량에 의해 결정할 수 있...
"개찰(開札, bid opening)","개찰(開札, bid opening) 정해진 시간에 입찰을 마감하고 응찰자들이 입찰함에 투입한 입찰봉투를 개봉하여 최고가입찰자를 정하는 절차를 의미한다. 법원경매입찰에서는 각 입찰자의 면전에서 즉시 개찰하여 발표하는 면전 개찰방식을 채택하고 있다."
개축(改築),개축(改築) 기존건축물의 전부 또는 일부 - 내력벽ㆍ기둥ㆍ보ㆍ지붕틀 중 3가지 이상이 포함되는 경우 - 를 철거하고 그 대지 안에 종전의 규모와 같거나 작게 건축물을 다시 짓는 것을 말한다. 개축시에는 반드시 기존건축물에 비해 건축면적ㆍ연면적ㆍ높이ㆍ층수 등의 규모가 같거나 작...
객주(客主),"객주(客主) 객주는 타인의 상품의 위탁매매(委託賣買)를 하는 일종의 위탁매매인으로, 조선시대의 상업기관의 일종이다. 그 기원은 확실하지는 않으나 고려시대부터 있었다고 한다."
갱지(更地),"갱지(更地) 나지(裸地)의 일종으로 지상에 건축물이나 구축물 등 토지의 자유로운 사용에 지장을 주는 시설물이 없는 토지로서, 해당 토지의 소유권에 저당권이나 지상권 등 사법상의 제한이 없는 토지를 의미한다"
거간(居間),"거간(居間) 중개인 또는 중개업자로서 타인의 거래를 주선하는 자. 상거래뿐만 아니라 토지가옥의 매매ㆍ대차ㆍ사금융(전당) 등도 중개한다. 그 종류가 여러 가지여서, 때로는 전문업 때로는 부업으로 하고 있다. 거간은 역사적으로 시장의 형성을 그 시발점으로 발생한 것이며 기원이 오래..."
거래사례비교법(去來事例比較法),거래사례비교법(去來事例比較法) 대상부동산과 동일성 또는 유사성이 있는 부동산의 거래사례와 비교하여 대상부동산의 현황에 맞게 사정보정 및 시점수정등을 가하여 가격을 산정하는 방법을 의미한다(감정평가에관한규칙 제4조제2호전단). 이 방법에 의하여 구한 가격을 비준가격이라 한다.
거래정보사업자(去來情報事業者),거래정보사업자(去來情報事業者) 부동산중개업법의 규정에 의거 건설교통부장관으로부터 부동산거래정보망을 설치ㆍ운영할 자로 지정 받은 자(법 제16조의5제1항). 거래정보사업자의 지정요건은 시행규칙 제14조의4에서 정하고 있다.
거소(居所),"거소(居所) 거소란 출장하여 1, 2개월 유숙하는 곳 등 다소 계속하여 거주하거나 생활의 근거가 되는 곳은 아닌 장소를 의미한다. 주소를 알 수 없으면 거소를, 국내의 주소가 없는 자는 국내거소를 주소로 본다."
거실(居室),"거실(居室) 거실이라 함은 건축물안에서 거주ㆍ집무ㆍ작업ㆍ집회ㆍ오락 기타 이와 유사한 목적을 위하여 사용되는 방을 말한다(건축법 제2조제5호). 우리나라의 주택에서는 거실은 가족공동체의 교류와 오락, 손님접대 등 주택의 가장 중요한 공간으로 인식되고 있다."
"거처(居處, living quarters)","거처(居處, living quarters) 사람이 살고 있는 모든 장소를 통칭하는 말로서 구조적으로 분리되고 독립된 하나의 거주단위를 말하며 주택과 주택이외의 거처로 구분된다."
건물(建物),"건물(建物) 건물이란 토지에 정착하고 있는 건조물로서, 지붕과 주벽이 있고 거주ㆍ저장의 목적에 사용되고 있는 것을 의미한다. 토지에 정착되어 있으나 법률상 독립된 부동산으로 본다. 그 때문에 토지와는 별개로 건물등기부가 설치되어 있어 별도로 등기하게 된다. 건물을 토지에서 독..."
건물검사업(建物檢査業),건물검사업(建物檢査業) 건물검사업이란 주택이나 건물등의 매수인의 의뢰를 받고 건축물의 기술적 상황을 조사하여 주고 그에 대한 보수를 받는 직업을 의미한다. 미국의 경우에는 건물조사사(building or house inspector) 또는 주택상담업(house consultant)이 이에 포함된다.
"건부지(建敷地, building plot, buiding site)","건부지(建敷地, building plot, buiding site) 건축물등의 용도에 쓰이는 토지로서, 건물과 토지가 동일 소유자에 의하여 사용되며, 그 토지의 사용, 수익을 제한하는 다른 권리가 부착되지 않은 토지를 의미한다."
"건설(建設, construction)","건설(建設, construction) 건설이란 토지 상에 구조물을 새로 만들어 설치하는 것을 의미한다. 철도, 도로, 댐, 교량 등의 공공시설에 대한 토목 공사와 건축물에 대한 건축 공사로 나누어진다."
건설공사(建設工事),"건설공사(建設工事) 건설공사는 토목공사ㆍ건축공사ㆍ산업설비공사ㆍ조경공사 및 환경설비공사등 시설물을 설치ㆍ유지ㆍ보수하는 공사(시설물을 설치하기 위한 부지조성공사를 포함한다), 기계설비 기타 구조물의 설치 및 해체공사 등을 말한다(건설산업기본법 제2조제4호). 그러나, 전기공사업법에 의..."
건설산업(建設産業),"건설산업(建設産業) 건설산업은 건설업과 건설용역업을 포괄하는 것을 의미하는 것으로(건설산업기본법 제2조제1호), 건설업이라 함은 건설공사를 수행하는 업으로서 토목공사ㆍ건축공사ㆍ조경공사 및 환경시설공사등 시설물을 설치ㆍ보수하는 공사(시설물을 설치하기 위한 부지조성공사를 포함), 기..."
건설산업기본법(建設産業基本法),"건설산업기본법(建設産業基本法) 건설산업기본법은 건설공사의 조사ㆍ설계ㆍ시공ㆍ감리ㆍ유지관리ㆍ기술관리등에 관한 기본적인 사항과 건설업의 등록, 건설공사의 도급등에 관하여 필요한 사항을 규정함으로써 건설공사의 적정한 시공과 건설산업의 건전한 발전을 도모함을 목적으로 제정된 법률로..."
건설인허가ㆍ민원업무전자처리체계,"건설인허가ㆍ민원업무전자처리체계 건설인허가ㆍ민원업무전자처리체계란 건설분야의 인허가 업무를 민원인이 원격지에서 통신망을 이용하여 처리할 수 있는 전자적 자료접수ㆍ처리 및 회신 체계를 의미한다. 건설인허가ㆍ민원업무전자처리체계는 민원인이 인터넷을 이용하여 건설인허가를 신청, 접수..."
건축(建築),"건축(建築) 건축법상의 용어. 건축물을 신축.증축.개축.재축 또는 이전하는 것을 말한다. 일반적으로 건축이란 인간생활에 필요한 구축물 중, 주로 건물의 공간과 생활의 관계를 만드는 기술, 사회적 재화, 그 사용가치, 미적 가치 등을 포함한 넓은 뜻이 있다."
건축면적(建築面積),"건축면적(建築面積) 건축법에서 건축면적이란 건축물(지표면으로부터 1미터이하에 있는 부분을 제외한다)의 외벽 또는 외벽이 없는 경우에는 외곽부분의 기둥의 중심선으로 둘러싸인 부분의 수평투영면적을 의미한다. 다만, 태양열을 주된 에너지원으로 이용하는 주택인 경우 건축면적은 건축물의..."
건축물(建築物),"건축물(建築物) 건축법상의 용어. 토지에 정착하는 공작물 중 지붕 및 기둥 또는 벽이 있는 것과 이에 부수되는 시설,공중의 용에 공하는 관람시설, 지하 또는 고가의 공작물에 설치하는 사무소, 공연장, 점포, 창고와 기타의 공작물을 말한다(건축법 제2조). 다만, 철도나 또는 궤도의 ..."
건축물높이,"건축물높이 건축법에서 건축물의 높이는 지표면으로부터 당해 건축물의 상단까지의 높이를 원칙으로 한다. 다만, 건축물의 1층 전체에 피로티(건축물의 사용을 위한 경비실ㆍ계단실ㆍ승강기실 기타 이와 유사한 것을 포함한다)가 설치되어 있는 경우에는 건축제한의 적용시 피로티의 층고를 ..."
건축물대장(建築物臺帳),건축물대장(建築物臺帳) 시장ㆍ군수ㆍ구청장이 건축물의 소유ㆍ이용상태를 확인하거나 건축정책의 기초자료로 활용하기 위하여 사용승인서를 교부한 경우 등에 건축물 및 그 대지에 관한 현황을 기재하고 이를 보관하는 공적장부를 의미한다(건축법 제29조). 건축물대장의 서식ㆍ기재내용ㆍ기재절차...
건축법(建築法),"건축법(建築法) 건축물의 대지, 구조, 설비의 기준 및 용도등을 정하여 건축물의 안전, 기능 및 미관을 향상시킴으로써 공공복리의 증진에 이바지함을 목적으로 하는 법률이다(1991. 5. 31. 법률 제4381호 전문개정). 건축허가와 신고ㆍ감리ㆍ감독, 건축물의 대지, 도로건축물의 구조 및 재..."
건축사(建築士),건축사(建築士) 건축사라 함은 건축사법에 의해 건설교통부장관이 시행하는 자격시험에 합격한 자로서 건축물의 설계 또는 공사감리의 업무를 행하는 자를 말한다(건축사법 제2조제1호).
건축사보(建築士補),"건축사보(建築士補) 건축사보라 함은 건축사법 제23조의 규정에 의한 건축사사무소에 소속하여 건축사업무를 보조하는 자중 국가기술자격법에 의하여 건축, 토목, 전기, 기계, 화공 및 요업, 통신, 환경, 에너지, 국토개발 또는 안전관리 기타 건축사법시행령이 정하는 분야의 기술계기술자격..."
"건축선(建築線, limiting line of structure)","건축선(建築線, limiting line of structure) 
 
건축선은 건축할 수 있는 선, 즉 도로와의 건축부지가 접한 경계선을 일컫는 말로 그 부분까지 건축이 가능하다는 것을 뜻한다. 
그러나 도로 너비가 부족한 경우에는 그 도로 중심선에서 필요한 도로 너비의 1/2을 띄운 선이 건축선이 ..."
건축설비(建築設備),건축설비(建築設備) 건축설비라 함은 건축물에 설치하는 전기ㆍ전화ㆍ가스ㆍ급수ㆍ배수ㆍ배수ㆍ환기ㆍ난방ㆍ소화ㆍ배연 및 오물처리의 설비와 굴뚝ㆍ승강기ㆍ피뢰침ㆍ국기게양대ㆍ공동시청안테나ㆍ유선방송수신시설ㆍ우편물 수취함 기타 건설교통부령이 정하는 설비를 말한다(건축법 제2조제3호).
건축주(建築主),"건축주(建築主) 건축주라 함은 건축물의 건축ㆍ대수선, 건축설비의 설치 또는 공작물의 축조에 관한 공사를 발주하거나 현장관리인을 두어 스스로 그 공사를 행하는 자를 말한다(건축법 제2조제12호)."
건축지정선(建築指定線),건축지정선(建築指定線) 건축지정선이란 건축물의 1～3층까지 벽면의 위치가 적어도 1/2이상이 접하도록 지정한 가상의 선을 말한다.
건축한계선(建築限界線),건축한계선(建築限界線) 건축한계선이란 건축물의 지상 부분이 일정한 수직면을 넘어서 건축하지 못하도록 한 가상의 선을 의미한다.
건축행정정보시스템,"건축행정정보시스템 건축행정정보시스템이라 함은 건축ㆍ주택행정업무를 전산처리하기 위한 주전산기, 이에 연결된 단말기 및 기타 주변기기 등 하드웨어와 소프트웨어 및 전산자료를 총칭한다. 이 시스템은 전국 어디에서나 인터넷을 통해 건축민원을 신청하고 처리결과를 발급받을 수 있는 ..."
건축허가 및 착공제한지역,"건축허가 및 착공제한지역 
 정의 국토관리 등의 필요에 의해 건축에 대한 허가나 이미 건축허가를 받은 건축물의 착공을 일정 기간 동안 제한하는 지역 
 용어설명 건축허가 및 착공제한지역은 「건축법」에 의해 지정되는 지역으로 국토관리 등을 위하여 특히 필요한 경우 허가권자의..."
"건폐율(建蔽率, building coverage)","건폐율(建蔽率, building coverage) 
 
건축법에서 건폐율이란 대지면적에 대한 건축면적의 비율을 의미한다. 건폐율의 계산에 있어서 건축면적은 대지에 2 이상의 건축물이 있는 경우에는 이들 건축면적의 합계로 한다. 
지역별로 적용되는 건폐율의 최소한도는 건축법이나 도시계획법의 규정에..."
